id,Qid,Answer,Love,Hunger,Life
1,74,시체는 넘어서 가야 제맛이지!,0,0,-1
2,74,…그런 생각 하기 싫어.,5,5,0
0,75,...피콜로냐?,0,0,-1
1,75,...마징가냐?,5,-5,0
2,75,...슈퍼맨이냐?,10,0,0
0,76,나란히 눕지만 않는다면 잠을 청할 수 있을 것 같아.,10,0,0
1,76,좀비도 잠이 오는거야?,-5,-5,0
2,76,눈을 감는 그 순간이 내 생의 마지막 순간이겠지…,0,0,-1
0,77,내가 본 좀비들 중에서는 유일하긴 해.,10,0,0
1,77,정신이 멀쩡한 건 좋지만…날 보며 입맛을 다시진 말아줘.,0,-10,0
2,77,놓지마! 정○줄!,0,0,-1
0,78,어허…사람 그렇게 무는거 아냐!,10,0,0
1,78,마침 개껌이 하나 있는데…이걸로 어느정도 해소가 될까?,0,-10,0
2,78,수아레스? 타이슨? 원하는 걸로 불러줄게.,0,0,-1
0,79,(가만히 있고 싶다.),0,-10,0
1,79,(가만히 있기 싫다.),10,0,0
2,79,(도망간다.),0,0,-1
0,80,양념!,5,-5,0
1,80,후라이드!,5,-5,0
2,80,둘다!,0,-10,0
0,81,이성의 끈을 미처 놓지 못해 그런게 아닐까?,0,10,0
1,81,자기도 발업하면 빨라져. 어떻게 하는건지는 묻지말고…,5,0,0
2,81,걔네들 다 스피드핵 써서 그래.,5,0,0
0,82,돌날라봤자 뚱배발이빴올리 뚜빞을빨하자 빨을렐예뺘아~,0,10,0
1,82,훈이야얄알안기라반기나이 베리나이야 청개구리야 ,5,-5,0
2,82,술을열어볼래 해굿바람에비다야라 ,5,0,0
0,83,싸움은 곗돈 싸움,10,0,0
1,83,서브 야전삽,0,10,0
2,83,탄냄비 천번 싸워염 냠냠짭찹 재미없다~!,0,0,-1
0,84,그렇게 엉뚱한 면이 너무 귀여우니까 상관없어.,10,0,0
1,84,넌 평소에도 그랬어. 그때는 좀 덜하긴 했지만…,0,10,0
2,84,알긴 아는구나.,0,0,-1
0,85,평소에 치아 관리를 잘 해서 그럴거야.,5,-5,0
1,85,나한테는 좋지 않은 소식일지도 몰라.,10,0,0
2,85,임플란트가 좋긴 좋구나…,0,0,-1
0,86,너처럼 말을 하는 좀비는 언데드에 가깝지 않을까?,10,10,0
1,86,원숭이와 인간의 차이랑 비슷하지 않을까?,5,-5,0
2,86,그걸 알면 내가 여기 이러고 있을까…,0,0,-1
0,87,다-다-다-다-다다다다다다다-스는 누구 겁니까?!,10,0,0
1,87,거짓말이야 입만 열면 아주 그냥!,0,0,-1
2,87,스피드하게 물어볼게요. 다스는 누구겁니까?,0,-10,0
0,88,빵상@ 깨라까랑,5,5,0
1,88,오~! 내가 인간세계에 와있으니 너무나도 행복하고 즐겁구나.,0,-10,0
2,88,빵빵또로로롱똥동@ 우리존재 파이팅,10,0,0
0,89,늬들이 개…아니 게맛을 알아!,0,10,0
1,89,컹컹컹! ㅇ르르와오옹왕! 크왕컥...켁켁….,10,-5,0
2,89,야!!!!!!!!!!!!! 개짖는 소리 좀 안나게 하라!,0,0,-1
0,90,평생 날 물지 않는 조건이라면...좋아.,5,0,0
1,90,평생 함께 할 거라면@ 나도 좀비가 되는게 나을지도…,10,5,0
2,90,평생 이성을 유지한 채로 살 수 있을까 과연?,0,10,0
0,91,도전해 온다면 적당히 상대해줄 남자가 아니야@ 나는.,0,0,-1
1,91,내가 여자랑 싸워서 져 본 적이 없는 사람이야.,0,0,-1
2,91,지금의 너라면@ 전력으로 패배할 자신이 있어.,5,-5,0
0,92,난 슬플 땐 학춤을 춰.,10,0,0
1,92,산으로 올라가 소릴 한번 질러봐.,0,10,0
2,92,가까운 정신과 내방 후 상담을 추천합니다.,0,0,-1
0,93,절름발이가 범인이야.,0,10,0
1,93,사실 다스베이더는 루크의 아버지였지.,-10,0,0
2,93,브루스 윌리스가 귀신이다!,0,0,-1
0,94,말도 안되는 소릴….,0,-10,0
1,94,하늘에 커서나 손가락이 없는 걸 보니 그건 아닌 것 같아.,10,0,0
2,94,(…너무 많은 것을 알고 있다. 어떻게 할까요@ 플레이어님?),0,0,-1
0,95,사실 나는 정의의 히어로야.,10,0,0
1,95,사실 나는 군필 여고생이이야.,0,0,-1
2,95,사실 나는 우리 엄마 아들이야.,0,10,0
0,96,과연 그 발로 작두를 멀쩡하게 탈 수 있을까?,-5,-5,0
1,96,다음주 로또번호 좀 알려줘봐.,10,0,0
2,96,한치앞도 몰라 다 안다면 재미없지.,0,0,-1
0,97,앞으로 선지해장국은 손도 못댈 것 같아…,5,0,0
1,97,미안. 혈액형 때문에 내가 별 도움은 못되겠구나.,-10,5,0
2,97,네놈의 피는 무슨색이냐!!!!!,0,0,-1
0,98,이 금으로 된 다리가 네 다리냐?,0,0,-1
1,98,아니면 이 은으로 된 다리가 네 다리냐?,0,-5,0
2,98,그것도 아니면...티타늄으로 된 다리가 네 다리냐?,10,0,0
0,99,난 지금도 나쁘지 않아. 물컹한 느낌만 빼면 말이지…,5,0,0
1,99,잘 어울려. 원래부터 이런 색이라 해도 사귀였을 거야.,10,-5,0
2,99,아티스트 분한테 물….아앗…내가 지금 무슨 말을!!!,0,0,-1
0,100,요리왕 비룡,5,15,0
1,100,쿠킹,10,0,0
2,100,몰라 그거 뭐야 무서워,0,0,-1
0,101,이젠 하다하다 별 언어를 다 하는구나…,-5,0,0
1,101,그걸로 1000번 채우면 세계 최강의 해커가 된대.,10,5,0
2,101,(이 질문은 버그가 아니니 안심하고 게임을 즐겨주세요!),0,0,-1
0,102,링딩딩딩딩기딩기딩,5,0,0
1,102,와파파파파파파우,0,5,0
2,102,하티하티하티호,0,0,-1
0,103,이중 돌연변이가 어떤 결과를 낳을 지 궁금하긴 하네.,0,-5,0
1,103,방사능을 뿜어대는 좀비라…게임에서 봤어 그거!,10,0,0
2,103,그렇다면 먹어서 응원해보는 것도 나쁘지 않을 것 같아.,0,0,-1
0,104,전국구 대털이 되기에 부족함이 없는 자질이구나.,10,0,0
1,104,내 아이큐 150@ 네 아이큐 150이면 총 300이겠지?,5,5,0
2,104,난 전국구 칼잡이고 복대는 기본으로 차고 있어.,0,0,-1
0,105,우는 천사는 본 적 있어. 눈을 감으면 안된대.,5,0,0
1,105,내가 알던 너는 눈물을 잘 모르던 아이였는데…,10,-5,0
2,105,좀 더 노력해봐. 자기가 최초의 타이틀을 거머쥘 수 있어!,0,0,-1
0,106,너의 공격패턴! 강약약 강강강약 강중약!,0,0,-1
1,106,설마…살을 주고 뼈를 칠 셈인가!,0,5,0
2,106,이젠 헛소리도 참신하게 하는구나…,5,0,0
0,107,흑염룡은 있는데 왜 백염룡은 없나요? 이거 인종차별 아닌가요?,5,0,0
1,107,용을 소로 바꿔주고 싶다…,0,0,-1
2,107,...내 여자친구는 그런 말 안해.,-5,-5,0
0,108,크큭…폭주한다…큭…,5,0,0
1,108,훗…흑화한다…후훗…,5,0,0
2,108,둘다 좀 안했으면 좋겠다 제발…,-5,-5,0
0,109,six times-육회,0,-10,0
1,109,lifestyle meat-생고기,0,-10,0
2,109,bear thang-곰탕,0,-10,0
0,110,유통기한을 정해놔도 까맣게 잊어버릴 것 같아.,10,5,0
1,110,유통기한 확인하여 사랑선택 올바르게,0,0,-1
2,110,1만년은 너무 적소. 4만년 쯤 합시다.,5,-5,0
0,111,방부 처리같은걸 하면 좀 나을까?,0,5,0
1,111,혹시 몰라 붕대도 챙겨놨어. 필요하면 이야기해.,10,0,0
2,111,아직 진정한 좀비가 되려면 멀었어…쯧쯧…,0,0,-1
0,112,(도망치면 안돼. 도망치면 안돼. 도망치면 안돼.),-5,0,0
1,112,지금 이 순간~,-5,0,0
2,112,바로 지금이야~,-5,0,0
0,113,배고픈 것도 먹고싶은 것도@ 별 생각이 들질 않아.,0,10,0
1,113,쓰러지지 않을 정도로는 챙겨먹고 있으니 괜찮은거 같아.,10,-5,0
2,113,난 네 얼굴만 봐도 입맛…아니 배가 불러.,0,0,-1
0,114,기억해둬. 표범의 입에는 송곳니가 있다.,0,0,-1
1,114,난 살고 싶어! 너와 함께!,15,5,0
2,114,혹시 너…나를 좋아하고 있는 거 아니니?,10,-5,0
0,115,정원만 조심한다면 아무래도 괜찮지 않을까?,0,-5,0
1,115,정말 주의해야 할 건 해바라기야. 은근히 무섭다고…,10,5,0
2,115,밥에서 콩만 골라낼 때부터 이렇게 될 줄 알았지.,0,0,-1
0,116,다른 지식 궁수 찾아라. 이 이상 좋게 줄 수 없다.,10,0,0
1,116,논... 자유의 모미 아냐. 여태까지 그래와꼬@ 아패로도 개속.,0,5,0
2,116,왜 나 꽈찌쭈는 햄보칼수가업서!,0,0,-1
0,117,그러게. 운이 정말 좋았던 거 같아.,0,5,0
1,117,어쩌면@ 원래 인기척이 드문 곳이 아닐까?,0,0,-1
2,117,얼른 후라이팬이라도 하나 주워야겠어.,10,5,0
0,118,좀비가 된 사람이 미치지 않는게 되려 이상한걸…,0,-5,0
1,118,그 미친 좀비의 남자친구가 바로 나 아니겠어?,10,0,0
2,118,…라고 해도 어차피 너와 나 둘 뿐인걸. 좀비는 너밖에 없고.,0,0,-1
0,119,응? 맛이 없어? 언제 먹어 본 거야 나를?,0,5,0
1,119,말이 뭔가 이상한 것 같긴 하지만 그래도 고마워.,10,0,0
2,119,어떻게...양념이라도 좀 구해다 주리?,0,0,-1
